1,1,1,13,2,4,2,3,1,12,0
3,12,3,2,3,11,4,5,2,5,1
3,13,2,7,4,11,3,11,2,11,3
4,1,4,13,4,12,4,11,4,10,9
4,9,4,13,4,12,4,11,4,10,9
3,10,2,7,1,2,2,11,4,9,0
1,3,4,5,3,4,1,12,4,6,0
2,6,4,11,2,3,4,9,1,7,0
3,2,4,9,3,7,4,3,4,5,0
4,4,3,13,1,8,3,9,3,10,0
1,9,3,8,4,4,1,7,3,5,0
4,7,3,12,1,13,1,9,2,6,0
2,12,1,3,2,11,2,7,4,8,0
4,2,2,9,2,7,1,5,3,11,0
1,13,2,6,1,6,2,11,3,5,1
3,8,2,7,1,9,3,6,2,3,0
2,10,1,11,1,9,3,1,1,13,0
4,2,4,12,2,12,2,7,3,10,1
4,5,2,2,4,9,1,5,4,1,1
2,3,3,9,2,1,2,6,4,10,0
1,7,2,11,4,1,2,9,3,13,0
1,11,3,12,3,10,4,9,2,13,4
2,5,3,5,4,12,2,2,3,12,2
2,12,2,1,2,13,2,4,2,3,5
3,2,1,2,3,11,1,11,4,11,6
